model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_cycler_ccd_last3_seed2,,0.0,cycler_ccd,3,last3,2,hard_majo,100,200,0.0,last_n,3,592.0,0.0,2.96,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ccd_last3_seed2,,0.0,cycler_ccd,3,last3,2,soft_majo,100,200,0.0,last_n,3,594.0,0.0,2.97,0.9899999999999999,0.009999999999999998
q_agent_partial_obs_vs_cycler_ccd_last3_seed3,,0.0,cycler_ccd,3,last3,3,tftt,100,200,0.0,last_n,3,597.0,0.0,2.985,0.9800000000000004,0.019999999999999997
q_agent_partial_obs_vs_cycler_ccd_last3_seed3,,0.0,cycler_ccd,3,last3,3,hard_tft,100,200,0.0,last_n,3,591.0,0.0,2.955,0.9899999999999999,0.009999999999999998
q_agent_partial_obs_vs_cycler_ccd_last3_seed3,,0.0,cycler_ccd,3,last3,3,cycler_ddc,100,200,0.0,last_n,3,199.0,0.0,0.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ccd_last3_seed3,,0.0,cycler_ccd,3,last3,3,cycler_ccd,100,200,0.0,last_n,3,731.0,0.0,3.655,0.024999999999999994,0.9749999999999995
q_agent_partial_obs_vs_cycler_ccd_last3_seed3,,0.0,cycler_ccd,3,last3,3,hard_majo,100,200,0.0,last_n,3,594.0,0.0,2.97,0.9899999999999999,0.009999999999999998
q_agent_partial_obs_vs_cycler_ccd_last3_seed3,,0.0,cycler_ccd,3,last3,3,soft_majo,100,200,0.0,last_n,3,594.0,0.0,2.97,0.9899999999999999,0.009999999999999998
q_agent_partial_obs_vs_cycler_ddc_last1_seed1,,0.0,cycler_ddc,1,last1,1,tftt,100,200,0.0,last_n,1,730.0,0.0,3.65,0.6749999999999998,0.32500000000000007
q_agent_partial_obs_vs_cycler_ddc_last1_seed1,,0.0,cycler_ddc,1,last1,1,hard_tft,100,200,0.0,last_n,1,125.0,0.0,0.625,0.39500000000000013,0.605
q_agent_partial_obs_vs_cycler_ddc_last1_seed1,,0.0,cycler_ddc,1,last1,1,cycler_ddc,100,200,0.0,last_n,1,464.0,0.0,2.32,0.0,1.0
q_agent_partial_obs_vs_cycler_ddc_last1_seed1,,0.0,cycler_ddc,1,last1,1,cycler_ccd,100,200,0.0,last_n,1,404.0,0.0,2.02,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last1_seed1,,0.0,cycler_ddc,1,last1,1,hard_majo,100,200,0.0,last_n,1,122.0,0.0,0.61,0.39000000000000007,0.6100000000000001
q_agent_partial_obs_vs_cycler_ddc_last1_seed1,,0.0,cycler_ddc,1,last1,1,soft_majo,100,200,0.0,last_n,1,130.0,0.0,0.65,0.39000000000000007,0.6100000000000001
q_agent_partial_obs_vs_cycler_ddc_last1_seed2,,0.0,cycler_ddc,1,last1,2,tftt,100,200,0.0,last_n,1,726.0,0.0,3.63,0.6850000000000003,0.31500000000000006
q_agent_partial_obs_vs_cycler_ddc_last1_seed2,,0.0,cycler_ddc,1,last1,2,hard_tft,100,200,0.0,last_n,1,138.0,0.0,0.69,0.39500000000000013,0.605
q_agent_partial_obs_vs_cycler_ddc_last1_seed2,,0.0,cycler_ddc,1,last1,2,cycler_ddc,100,200,0.0,last_n,1,463.0,0.0,2.315,0.004999999999999999,0.995
q_agent_partial_obs_vs_cycler_ddc_last1_seed2,,0.0,cycler_ddc,1,last1,2,cycler_ccd,100,200,0.0,last_n,1,404.0,0.0,2.02,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ddc_last1_seed2,,0.0,cycler_ddc,1,last1,2,hard_majo,100,200,0.0,last_n,1,124.0,0.0,0.62,0.38000000000000006,0.6199999999999999
q_agent_partial_obs_vs_cycler_ddc_last1_seed2,,0.0,cycler_ddc,1,last1,2,soft_majo,100,200,0.0,last_n,1,132.0,0.0,0.66,0.38000000000000006,0.6199999999999999
q_agent_partial_obs_vs_cycler_ddc_last1_seed3,,0.0,cycler_ddc,1,last1,3,tftt,100,200,0.0,last_n,1,724.0,0.0,3.62,0.6899999999999997,0.30999999999999994
