training_opponent,training_history_length,mean_reward
tftt,1,554.8888888888889
tftt,3,545.8888888888889
hard_tft,1,369.8888888888889
hard_tft,3,488.77777777777777
cycler_ddc,1,329.5
cycler_ddc,3,540.2777777777778
cycler_ccd,1,505.1111111111111
cycler_ccd,3,550.4444444444445
hard_majo,1,439.0
hard_majo,3,403.05555555555554
soft_majo,1,447.05555555555554
soft_majo,3,382.55555555555554
