model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_majo,100,200,0.1,last_n,3,291.35,179.24622032277279,1.4567500000000002,0.3874499999999999,0.61255
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,joss,100,200,0.1,last_n,3,422.02,20.653803523806456,2.1101,0.47989999999999994,0.5201
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_joss,100,200,0.1,last_n,3,437.25,17.427779548754913,2.18625,0.48185,0.51815
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober,100,200,0.1,last_n,3,425.29,79.00864446375473,2.12645,0.46140000000000003,0.5386
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober_3,100,200,0.1,last_n,3,405.91,95.46560584838919,2.02955,0.4522500000000001,0.5477500000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_prober,100,200,0.1,last_n,3,425.09,78.88917479603903,2.12545,0.45899999999999996,0.541
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tft,100,200,0.2,last_n,3,453.11,19.410767630364337,2.26555,0.50775,0.49225
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,mist,100,200,0.2,last_n,3,450.09,21.037155225933,2.25045,0.50335,0.49665
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tftt,100,200,0.2,last_n,3,559.13,16.067765868346477,2.79565,0.63285,0.36715
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_tft,100,200,0.2,last_n,3,298.58,18.726548000098685,1.4929,0.45930000000000004,0.5407
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,generous_tft,100,200,0.2,last_n,3,473.9,21.10852908186641,2.3695,0.533,0.467
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,alld,100,200,0.2,last_n,3,254.08,18.063045147482747,1.2704,0.4231000000000001,0.5769000000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_majo,100,200,0.2,last_n,3,520.3,145.59975961518617,2.6014999999999997,0.62505,0.37495000000000006
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_majo,100,200,0.2,last_n,3,426.02,162.483105583319,2.1301,0.54935,0.45065
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,joss,100,200,0.2,last_n,3,429.6,20.92223697409051,2.148,0.5117999999999999,0.4882000000000001
