training_population,training_p_noise,mean_reward
exploitative,0.0,433.07564102564106
exploitative,0.05,403.5150641025641
exploitative,0.1,397.05929487179486
exploitative,0.2,392.20948717948716
mixed,0.0,421.2584615384616
mixed,0.05,405.6840384615385
mixed,0.1,391.79019230769234
mixed,0.2,393.431858974359
reciprocal,0.0,424.7858333333333
reciprocal,0.05,411.4072435897436
reciprocal,0.1,402.03032051282054
reciprocal,0.2,384.5054487179487
