model,training_opponent,hyperparameter_config,learning_rate_start,learning_rate_end,learning_rate_schedule,final_learning_rate,discount_factor,initial_epsilon,epsilon_decay,epsilon_min,final_epsilon,observation_mode,history_length,history_flags_enabled,model_variant,seed,test_opponent,episodes,n_rounds,p_noise,evaluation_epsilon,mean_reward,std_reward,mean_reward_per_round,cooperation_rate,defection_rate,first_defection_rate,average_round_of_first_defection,payoff_percent_of_max,q_c_minus_d_initial_state,q_c_minus_d_after_first_agent_defection
q_agent_exp5bis_standard_vs_hard_tft_gamma_0999_lr_05_to_001_eps_09_to_001_seed1,hard_tft,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,1,grudger,100,100,0.0,0.0,95.0,0.0,0.95,0.15,0.8499999999999995,1.0,3.0,31.456953642384107,10.094712503918515,-52.259158198863446
q_agent_exp5bis_standard_vs_hard_tft_gamma_0999_lr_05_to_001_eps_09_to_001_seed2,hard_tft,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,2,hard_tft,100,100,0.0,0.0,129.0,0.0,1.29,0.15,0.8499999999999995,1.0,5.0,42.71523178807947,15.906207888237503,-47.24459610266652
q_agent_exp5bis_standard_vs_hard_tft_gamma_0999_lr_05_to_001_eps_09_to_001_seed2,hard_tft,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,2,grudger,100,100,0.0,0.0,101.0,0.0,1.01,0.15,0.8499999999999995,1.0,5.0,33.443708609271525,15.906207888237503,-47.24459610266652
q_agent_exp5bis_standard_vs_hard_tft_gamma_0999_lr_05_to_001_eps_09_to_001_seed3,hard_tft,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,3,hard_tft,100,100,0.0,0.0,123.0,0.0,1.23,0.12,0.88,1.0,4.0,40.728476821192054,9.592534264070352,-49.75804202760734
q_agent_exp5bis_standard_vs_hard_tft_gamma_0999_lr_05_to_001_eps_09_to_001_seed3,hard_tft,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,3,grudger,100,100,0.0,0.0,101.0,0.0,1.01,0.12,0.88,1.0,4.0,33.443708609271525,9.592534264070352,-49.75804202760734
q_agent_exp5bis_standard_vs_hard_tft_gamma_099_lr_05_to_001_eps_09_to_0001_seed1,hard_tft,gamma_099_lr_05_to_001_eps_09_to_0001,0.5,0.01,inverse_time,0.010000000000000002,0.99,0.9,0.9996599210949412,0.001,0.001,last_n,3,False,gamma_099_lr_05_to_001_eps_09_to_0001,1,hard_tft,100,100,0.0,0.0,125.0,0.0,1.25,0.13,0.87,1.0,5.0,41.390728476821195,9.345410888584539,-27.21186876823692
q_agent_exp5bis_standard_vs_hard_tft_gamma_099_lr_05_to_001_eps_09_to_0001_seed1,hard_tft,gamma_099_lr_05_to_001_eps_09_to_0001,0.5,0.01,inverse_time,0.010000000000000002,0.99,0.9,0.9996599210949412,0.001,0.001,last_n,3,False,gamma_099_lr_05_to_001_eps_09_to_0001,1,grudger,100,100,0.0,0.0,103.0,0.0,1.03,0.13,0.87,1.0,5.0,34.10596026490066,9.345410888584539,-27.21186876823692
q_agent_exp5bis_standard_vs_hard_tft_gamma_099_lr_05_to_001_eps_09_to_0001_seed2,hard_tft,gamma_099_lr_05_to_001_eps_09_to_0001,0.5,0.01,inverse_time,0.010000000000000002,0.99,0.9,0.9996599210949412,0.001,0.001,last_n,3,False,gamma_099_lr_05_to_001_eps_09_to_0001,2,hard_tft,100,100,0.0,0.0,141.0,0.0,1.41,0.21000000000000005,0.7900000000000003,1.0,10.0,46.688741721854306,22.639955702313827,-28.124330159840525
q_agent_exp5bis_standard_vs_hard_tft_gamma_099_lr_05_to_001_eps_09_to_0001_seed2,hard_tft,gamma_099_lr_05_to_001_eps_09_to_0001,0.5,0.01,inverse_time,0.010000000000000002,0.99,0.9,0.9996599210949412,0.001,0.001,last_n,3,False,gamma_099_lr_05_to_001_eps_09_to_0001,2,grudger,100,100,0.0,0.0,111.0,0.0,1.11,0.19999999999999996,0.7999999999999998,1.0,10.0,36.75496688741722,22.639955702313827,-28.124330159840525
q_agent_exp5bis_standard_vs_hard_tft_gamma_099_lr_05_to_001_eps_09_to_0001_seed3,hard_tft,gamma_099_lr_05_to_001_eps_09_to_0001,0.5,0.01,inverse_time,0.010000000000000002,0.99,0.9,0.9996599210949412,0.001,0.001,last_n,3,False,gamma_099_lr_05_to_001_eps_09_to_0001,3,hard_tft,100,100,0.0,0.0,125.0,0.0,1.25,0.15999999999999998,0.8400000000000002,1.0,6.0,41.390728476821195,9.394369967943717,-25.585743671192866
q_agent_exp5bis_standard_vs_hard_tft_gamma_099_lr_05_to_001_eps_09_to_0001_seed3,hard_tft,gamma_099_lr_05_to_001_eps_09_to_0001,0.5,0.01,inverse_time,0.010000000000000002,0.99,0.9,0.9996599210949412,0.001,0.001,last_n,3,False,gamma_099_lr_05_to_001_eps_09_to_0001,3,grudger,100,100,0.0,0.0,103.0,0.0,1.03,0.15999999999999998,0.8400000000000002,1.0,6.0,34.10596026490066,9.394369967943717,-25.585743671192866
q_agent_exp5bis_qinit_cooperate_vs_grudger_baseline_seed1,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,1,hard_tft,100,100,0.0,0.0,302.0,0.0,3.02,0.9899999999999999,0.009999999999999998,1.0,100.0,100.0,38.73450445868367,-15.221405935375149
q_agent_exp5bis_qinit_cooperate_vs_grudger_baseline_seed1,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,1,grudger,100,100,0.0,0.0,302.0,0.0,3.02,0.9899999999999999,0.009999999999999998,1.0,100.0,100.0,38.73450445868367,-15.221405935375149
q_agent_exp5bis_qinit_cooperate_vs_grudger_baseline_seed2,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,2,hard_tft,100,100,0.0,0.0,302.0,0.0,3.02,0.9899999999999999,0.009999999999999998,1.0,100.0,100.0,41.0529482919107,-12.647655368086742
q_agent_exp5bis_qinit_cooperate_vs_grudger_baseline_seed2,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,2,grudger,100,100,0.0,0.0,302.0,0.0,3.02,0.9899999999999999,0.009999999999999998,1.0,100.0,100.0,41.0529482919107,-12.647655368086742
q_agent_exp5bis_qinit_cooperate_vs_grudger_baseline_seed3,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,3,hard_tft,100,100,0.0,0.0,302.0,0.0,3.02,0.9899999999999999,0.009999999999999998,1.0,100.0,100.0,40.11821744027432,-13.702203437159508
q_agent_exp5bis_qinit_cooperate_vs_grudger_baseline_seed3,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,3,grudger,100,100,0.0,0.0,302.0,0.0,3.02,0.9899999999999999,0.009999999999999998,1.0,100.0,100.0,40.11821744027432,-13.702203437159508
q_agent_exp5bis_qinit_cooperate_vs_hard_tft_baseline_seed1,hard_tft,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,1,hard_tft,100,100,0.0,0.0,274.0,0.0,2.74,0.95,0.04999999999999999,1.0,21.0,90.72847682119205,13.015208299662312,-38.96718216902975
q_agent_exp5bis_qinit_cooperate_vs_hard_tft_baseline_seed1,hard_tft,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,1,grudger,100,100,0.0,0.0,81.0,0.0,0.81,0.8299999999999998,0.17000000000000004,1.0,21.0,26.821192052980134,13.015208299662312,-38.96718216902975
q_agent_exp5bis_qinit_cooperate_vs_hard_tft_baseline_seed2,hard_tft,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,2,hard_tft,100,100,0.0,0.0,288.0,0.0,2.88,0.97,0.03,1.0,27.0,95.36423841059603,18.982272957992123,-33.4711717890124
q_agent_exp5bis_qinit_cooperate_vs_hard_tft_baseline_seed2,hard_tft,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,2,grudger,100,100,0.0,0.0,100.0,0.0,1.0,0.8199999999999998,0.17999999999999997,1.0,27.0,33.11258278145695,18.982272957992123,-33.4711717890124
q_agent_exp5bis_qinit_cooperate_vs_hard_tft_baseline_seed3,hard_tft,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,3,hard_tft,100,100,0.0,0.0,270.0,0.0,2.7,0.9300000000000002,0.07000000000000003,1.0,3.0,89.40397350993378,3.5589217047419837,-41.4844627906738
q_agent_exp5bis_qinit_cooperate_vs_hard_tft_baseline_seed3,hard_tft,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,improved_baseline,3,grudger,100,100,0.0,0.0,31.0,0.0,0.31,0.7900000000000003,0.21000000000000005,1.0,3.0,10.264900662251655,3.5589217047419837,-41.4844627906738
