model_variant,mean_reward,payoff_percent_of_max,cooperation_rate,model_label
baseline,145.33333333333334,48.12362030905077,0.2933333333333333,baseline
gamma_0999_lr_05_to_001_eps_09_to_001,111.41666666666667,36.89293598233996,0.08833333333333332,"gamma .999, LR .5->.01"
gamma_099_lr_05_to_001_eps_09_to_0001,115.16666666666667,38.13465783664459,0.10583333333333328,"gamma .99, LR .5->.01"
improved_baseline,238.0,78.80794701986754,0.9358333333333334,improved baseline
