,alld,generous_tft,hard_majo,hard_prober,hard_tft,joss,mist,prober,prober_3,soft_joss,soft_majo,tft,tftt
Agent trained on Reciprocal population,134.33333333333334,507.0466666666666,219.0,375.3333333333333,218.33333333333334,436.3833333333334,493.6666666666667,492.3333333333333,375.0,463.75333333333333,391.3333333333333,497.6666666666667,643.6666666666666
Agent trained on Exploitative population,166.33333333333334,512.0666666666667,166.33333333333334,505.6666666666667,173.33333333333334,433.90000000000003,492.6666666666667,505.0,501.6666666666667,463.06333333333333,725.0,504.6666666666667,664.3333333333334
Agent trained on Mixed population,170.0,496.74,171.33333333333334,483.0,179.33333333333334,415.7733333333333,475.3333333333333,488.6666666666667,485.0,447.49333333333334,538.6666666666666,485.6666666666667,659.6666666666666
