model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_seed1,exploitative,0.0,tft,100,200,0.0,last_n,3,508.0,0.0,2.54,0.6100000000000001,0.39000000000000007
q_agent_population_exploitative_seed1,exploitative,0.0,mist,100,200,0.0,last_n,3,497.0,0.0,2.485,0.5949999999999998,0.4050000000000002
q_agent_population_exploitative_seed1,exploitative,0.0,tftt,100,200,0.0,last_n,3,666.0,0.0,3.33,0.6850000000000003,0.31500000000000006
q_agent_population_exploitative_seed1,exploitative,0.0,hard_tft,100,200,0.0,last_n,3,176.0,0.0,0.88,0.22,0.7800000000000001
q_agent_population_exploitative_seed1,exploitative,0.0,generous_tft,100,200,0.0,last_n,3,520.61,10.184198544804595,2.60305,0.5840499999999998,0.41595
q_agent_population_exploitative_seed1,exploitative,0.0,alld,100,200,0.0,last_n,3,163.0,0.0,0.815,0.18499999999999997,0.8149999999999996
q_agent_population_exploitative_seed1,exploitative,0.0,soft_majo,100,200,0.0,last_n,3,725.0,0.0,3.625,0.6800000000000002,0.31999999999999995
q_agent_population_exploitative_seed1,exploitative,0.0,hard_majo,100,200,0.0,last_n,3,163.0,0.0,0.815,0.18499999999999997,0.8149999999999996
q_agent_population_exploitative_seed1,exploitative,0.0,joss,100,200,0.0,last_n,3,434.11,21.138067555952222,2.17055,0.53705,0.46295
q_agent_population_exploitative_seed1,exploitative,0.0,soft_joss,100,200,0.0,last_n,3,467.62,17.143966868843396,2.3381,0.5661,0.4339
q_agent_population_exploitative_seed1,exploitative,0.0,prober,100,200,0.0,last_n,3,509.0,0.0,2.545,0.605,0.39500000000000013
q_agent_population_exploitative_seed1,exploitative,0.0,prober_3,100,200,0.0,last_n,3,505.0,0.0,2.525,0.6,0.3999999999999999
q_agent_population_exploitative_seed1,exploitative,0.0,hard_prober,100,200,0.0,last_n,3,506.0,0.0,2.53,0.5949999999999998,0.4050000000000002
q_agent_population_exploitative_seed2,exploitative,0.0,tft,100,200,0.0,last_n,3,505.0,0.0,2.525,0.5949999999999998,0.4050000000000002
q_agent_population_exploitative_seed2,exploitative,0.0,mist,100,200,0.0,last_n,3,491.0,0.0,2.455,0.5750000000000002,0.42499999999999977
q_agent_population_exploitative_seed2,exploitative,0.0,tftt,100,200,0.0,last_n,3,663.0,0.0,3.315,0.6550000000000001,0.34499999999999986
q_agent_population_exploitative_seed2,exploitative,0.0,hard_tft,100,200,0.0,last_n,3,171.0,0.0,0.855,0.18499999999999997,0.8149999999999996
q_agent_population_exploitative_seed2,exploitative,0.0,generous_tft,100,200,0.0,last_n,3,509.72,11.42022766848367,2.5486,0.55445,0.44555
q_agent_population_exploitative_seed2,exploitative,0.0,alld,100,200,0.0,last_n,3,167.0,0.0,0.835,0.165,0.8349999999999997
q_agent_population_exploitative_seed2,exploitative,0.0,soft_majo,100,200,0.0,last_n,3,721.0,0.0,3.605,0.6899999999999997,0.30999999999999994
q_agent_population_exploitative_seed2,exploitative,0.0,hard_majo,100,200,0.0,last_n,3,167.0,0.0,0.835,0.165,0.8349999999999997
q_agent_population_exploitative_seed2,exploitative,0.0,joss,100,200,0.0,last_n,3,435.43,21.978742002216595,2.17715,0.5347999999999999,0.46520000000000006
q_agent_population_exploitative_seed2,exploitative,0.0,soft_joss,100,200,0.0,last_n,3,463.4,17.59829537199555,2.3169999999999997,0.5511500000000001,0.44884999999999986
q_agent_population_exploitative_seed2,exploitative,0.0,prober,100,200,0.0,last_n,3,506.0,0.0,2.53,0.5900000000000001,0.4099999999999999
q_agent_population_exploitative_seed2,exploitative,0.0,prober_3,100,200,0.0,last_n,3,501.0,0.0,2.505,0.585,0.4149999999999999
q_agent_population_exploitative_seed2,exploitative,0.0,hard_prober,100,200,0.0,last_n,3,507.0,0.0,2.535,0.5949999999999998,0.4050000000000002
q_agent_population_exploitative_seed3,exploitative,0.0,tft,100,200,0.0,last_n,3,501.0,0.0,2.505,0.58,0.4200000000000001
q_agent_population_exploitative_seed3,exploitative,0.0,mist,100,200,0.0,last_n,3,490.0,0.0,2.45,0.5649999999999997,0.435
q_agent_population_exploitative_seed3,exploitative,0.0,tftt,100,200,0.0,last_n,3,664.0,0.0,3.32,0.66,0.3400000000000001
q_agent_population_exploitative_seed3,exploitative,0.0,hard_tft,100,200,0.0,last_n,3,173.0,0.0,0.865,0.17500000000000004,0.825
q_agent_population_exploitative_seed3,exploitative,0.0,generous_tft,100,200,0.0,last_n,3,505.87,10.627939593354865,2.52935,0.5391999999999999,0.46080000000000004
q_agent_population_exploitative_seed3,exploitative,0.0,alld,100,200,0.0,last_n,3,169.0,0.0,0.845,0.15499999999999997,0.845
q_agent_population_exploitative_seed3,exploitative,0.0,soft_majo,100,200,0.0,last_n,3,729.0,0.0,3.645,0.6700000000000002,0.33
q_agent_population_exploitative_seed3,exploitative,0.0,hard_majo,100,200,0.0,last_n,3,169.0,0.0,0.845,0.15499999999999997,0.845
q_agent_population_exploitative_seed3,exploitative,0.0,joss,100,200,0.0,last_n,3,432.16,19.140909069320607,2.1608,0.51525,0.48475
q_agent_population_exploitative_seed3,exploitative,0.0,soft_joss,100,200,0.0,last_n,3,458.17,17.155206206863266,2.2908500000000003,0.53675,0.46325000000000005
q_agent_population_exploitative_seed3,exploitative,0.0,prober,100,200,0.0,last_n,3,500.0,0.0,2.5,0.5700000000000001,0.43
q_agent_population_exploitative_seed3,exploitative,0.0,prober_3,100,200,0.0,last_n,3,499.0,0.0,2.495,0.5750000000000002,0.42499999999999977
q_agent_population_exploitative_seed3,exploitative,0.0,hard_prober,100,200,0.0,last_n,3,504.0,0.0,2.52,0.58,0.4200000000000001
q_agent_population_mixed_seed1,mixed,0.0,tft,100,200,0.0,last_n,3,487.0,0.0,2.435,0.54,0.4600000000000001
q_agent_population_mixed_seed1,mixed,0.0,mist,100,200,0.0,last_n,3,482.0,0.0,2.41,0.5349999999999999,0.4650000000000001
q_agent_population_mixed_seed1,mixed,0.0,tftt,100,200,0.0,last_n,3,660.0,0.0,3.3,0.6550000000000001,0.34499999999999986
q_agent_population_mixed_seed1,mixed,0.0,hard_tft,100,200,0.0,last_n,3,181.0,0.0,0.905,0.145,0.8550000000000004
q_agent_population_mixed_seed1,mixed,0.0,generous_tft,100,200,0.0,last_n,3,496.35,10.23755341866405,2.48175,0.51285,0.48714999999999997
q_agent_population_mixed_seed1,mixed,0.0,alld,100,200,0.0,last_n,3,172.0,0.0,0.86,0.14000000000000007,0.86
q_agent_population_mixed_seed1,mixed,0.0,soft_majo,100,200,0.0,last_n,3,726.0,0.0,3.63,0.6850000000000003,0.31500000000000006
q_agent_population_mixed_seed1,mixed,0.0,hard_majo,100,200,0.0,last_n,3,176.0,0.0,0.88,0.14000000000000007,0.86
q_agent_population_mixed_seed1,mixed,0.0,joss,100,200,0.0,last_n,3,420.79,22.863637068498093,2.10395,0.4875500000000001,0.5124499999999999
q_agent_population_mixed_seed1,mixed,0.0,soft_joss,100,200,0.0,last_n,3,449.82,18.632970777629637,2.2491,0.5064,0.4936
q_agent_population_mixed_seed1,mixed,0.0,prober,100,200,0.0,last_n,3,486.0,0.0,2.43,0.5349999999999999,0.4650000000000001
q_agent_population_mixed_seed1,mixed,0.0,prober_3,100,200,0.0,last_n,3,482.0,0.0,2.41,0.5349999999999999,0.4650000000000001
q_agent_population_mixed_seed1,mixed,0.0,hard_prober,100,200,0.0,last_n,3,483.0,0.0,2.415,0.5349999999999999,0.4650000000000001
q_agent_population_mixed_seed2,mixed,0.0,tft,100,200,0.0,last_n,3,489.0,0.0,2.445,0.5700000000000001,0.43
q_agent_population_mixed_seed2,mixed,0.0,mist,100,200,0.0,last_n,3,475.0,0.0,2.375,0.5499999999999998,0.45000000000000023
q_agent_population_mixed_seed2,mixed,0.0,tftt,100,200,0.0,last_n,3,657.0,0.0,3.285,0.6550000000000001,0.34499999999999986
q_agent_population_mixed_seed2,mixed,0.0,hard_tft,100,200,0.0,last_n,3,182.0,0.0,0.91,0.15999999999999998,0.8400000000000002
q_agent_population_mixed_seed2,mixed,0.0,generous_tft,100,200,0.0,last_n,3,501.47,13.893491281891677,2.50735,0.5376000000000001,0.46240000000000003
q_agent_population_mixed_seed2,mixed,0.0,alld,100,200,0.0,last_n,3,173.0,0.0,0.865,0.135,0.8649999999999999
q_agent_population_mixed_seed2,mixed,0.0,soft_majo,100,200,0.0,last_n,3,721.0,0.0,3.605,0.6899999999999997,0.30999999999999994
q_agent_population_mixed_seed2,mixed,0.0,hard_majo,100,200,0.0,last_n,3,173.0,0.0,0.865,0.135,0.8649999999999999
q_agent_population_mixed_seed2,mixed,0.0,joss,100,200,0.0,last_n,3,413.25,23.964713643187977,2.06625,0.4864,0.5136
q_agent_population_mixed_seed2,mixed,0.0,soft_joss,100,200,0.0,last_n,3,447.32,19.768095507660824,2.2366,0.5225500000000001,0.47744999999999993
q_agent_population_mixed_seed2,mixed,0.0,prober,100,200,0.0,last_n,3,498.0,0.0,2.49,0.58,0.4200000000000001
q_agent_population_mixed_seed2,mixed,0.0,prober_3,100,200,0.0,last_n,3,495.0,0.0,2.475,0.58,0.4200000000000001
q_agent_population_mixed_seed2,mixed,0.0,hard_prober,100,200,0.0,last_n,3,489.0,0.0,2.445,0.5649999999999997,0.435
q_agent_population_mixed_seed3,mixed,0.0,tft,100,200,0.0,last_n,3,481.0,0.0,2.405,0.545,0.4549999999999999
q_agent_population_mixed_seed3,mixed,0.0,mist,100,200,0.0,last_n,3,469.0,0.0,2.345,0.5300000000000002,0.4699999999999998
q_agent_population_mixed_seed3,mixed,0.0,tftt,100,200,0.0,last_n,3,662.0,0.0,3.31,0.6650000000000003,0.3350000000000001
q_agent_population_mixed_seed3,mixed,0.0,hard_tft,100,200,0.0,last_n,3,175.0,0.0,0.875,0.18499999999999997,0.8149999999999996
q_agent_population_mixed_seed3,mixed,0.0,generous_tft,100,200,0.0,last_n,3,492.4,12.177027551911017,2.4619999999999997,0.51575,0.48424999999999996
q_agent_population_mixed_seed3,mixed,0.0,alld,100,200,0.0,last_n,3,165.0,0.0,0.825,0.17500000000000004,0.825
q_agent_population_mixed_seed3,mixed,0.0,soft_majo,100,200,0.0,last_n,3,169.0,0.0,0.845,0.17500000000000004,0.825
q_agent_population_mixed_seed3,mixed,0.0,hard_majo,100,200,0.0,last_n,3,165.0,0.0,0.825,0.17500000000000004,0.825
q_agent_population_mixed_seed3,mixed,0.0,joss,100,200,0.0,last_n,3,413.28,22.629220048424116,2.0664,0.47800000000000004,0.5219999999999999
q_agent_population_mixed_seed3,mixed,0.0,soft_joss,100,200,0.0,last_n,3,445.34,19.292599617469907,2.2266999999999997,0.50935,0.49065
q_agent_population_mixed_seed3,mixed,0.0,prober,100,200,0.0,last_n,3,482.0,0.0,2.41,0.54,0.4600000000000001
q_agent_population_mixed_seed3,mixed,0.0,prober_3,100,200,0.0,last_n,3,478.0,0.0,2.39,0.54,0.4600000000000001
q_agent_population_mixed_seed3,mixed,0.0,hard_prober,100,200,0.0,last_n,3,477.0,0.0,2.385,0.5349999999999999,0.4650000000000001
q_agent_population_reciprocal_seed1,reciprocal,0.0,tft,100,200,0.0,last_n,3,494.0,0.0,2.47,0.5949999999999998,0.4050000000000002
q_agent_population_reciprocal_seed1,reciprocal,0.0,mist,100,200,0.0,last_n,3,491.0,0.0,2.455,0.6,0.3999999999999999
q_agent_population_reciprocal_seed1,reciprocal,0.0,tftt,100,200,0.0,last_n,3,619.0,0.0,3.095,0.4699999999999998,0.5300000000000002
q_agent_population_reciprocal_seed1,reciprocal,0.0,hard_tft,100,200,0.0,last_n,3,242.0,0.0,1.21,0.4149999999999999,0.585
q_agent_population_reciprocal_seed1,reciprocal,0.0,generous_tft,100,200,0.0,last_n,3,506.59,11.6362322080646,2.53295,0.5521,0.4478999999999999
q_agent_population_reciprocal_seed1,reciprocal,0.0,alld,100,200,0.0,last_n,3,131.0,0.0,0.655,0.34499999999999986,0.6550000000000001
q_agent_population_reciprocal_seed1,reciprocal,0.0,soft_majo,100,200,0.0,last_n,3,796.0,0.0,3.98,0.5099999999999998,0.4900000000000002
q_agent_population_reciprocal_seed1,reciprocal,0.0,hard_majo,100,200,0.0,last_n,3,365.0,0.0,1.825,0.4149999999999999,0.585
q_agent_population_reciprocal_seed1,reciprocal,0.0,joss,100,200,0.0,last_n,3,436.62,18.200428566382715,2.1831,0.5583,0.4416999999999999
q_agent_population_reciprocal_seed1,reciprocal,0.0,soft_joss,100,200,0.0,last_n,3,463.8,16.451747627531855,2.319,0.5729,0.42710000000000004
q_agent_population_reciprocal_seed1,reciprocal,0.0,prober,100,200,0.0,last_n,3,483.0,0.0,2.415,0.5750000000000002,0.42499999999999977
q_agent_population_reciprocal_seed1,reciprocal,0.0,prober_3,100,200,0.0,last_n,3,491.0,0.0,2.455,0.6,0.3999999999999999
q_agent_population_reciprocal_seed1,reciprocal,0.0,hard_prober,100,200,0.0,last_n,3,492.0,0.0,2.46,0.605,0.39500000000000013
q_agent_population_reciprocal_seed2,reciprocal,0.0,tft,100,200,0.0,last_n,3,507.0,0.0,2.535,0.6349999999999998,0.36500000000000016
q_agent_population_reciprocal_seed2,reciprocal,0.0,mist,100,200,0.0,last_n,3,501.0,0.0,2.505,0.6300000000000001,0.36999999999999994
q_agent_population_reciprocal_seed2,reciprocal,0.0,tftt,100,200,0.0,last_n,3,651.0,0.0,3.255,0.5499999999999998,0.45000000000000023
q_agent_population_reciprocal_seed2,reciprocal,0.0,hard_tft,100,200,0.0,last_n,3,199.0,0.0,0.995,0.3400000000000001,0.66
q_agent_population_reciprocal_seed2,reciprocal,0.0,generous_tft,100,200,0.0,last_n,3,512.12,10.4807251657507,2.5606,0.5767500000000001,0.42324999999999996
q_agent_population_reciprocal_seed2,reciprocal,0.0,alld,100,200,0.0,last_n,3,141.0,0.0,0.705,0.29500000000000004,0.7049999999999998
q_agent_population_reciprocal_seed2,reciprocal,0.0,soft_majo,100,200,0.0,last_n,3,231.0,0.0,1.155,0.31500000000000006,0.6850000000000003
q_agent_population_reciprocal_seed2,reciprocal,0.0,hard_majo,100,200,0.0,last_n,3,155.0,0.0,0.775,0.28000000000000014,0.7199999999999999
q_agent_population_reciprocal_seed2,reciprocal,0.0,joss,100,200,0.0,last_n,3,440.42,19.662746501951347,2.2021,0.5690999999999999,0.43089999999999995
